Brnd_Name,total_spending,total_claims,year,rank
Clindacin,,,2019,2758
Dulera,,,2019,2758
Invega Hafyera,,,2019,2758
Jynneos,,,2019,2758
Maxalt,,,2019,2758
Cystadrops,,,2019,2758
Penciclovir,,,2019,2758
Proair Digihaler,,,2019,2758
Brixadi,,,2019,2758
Doxylamine Succ-Pyridoxine HCl,,,2019,2758
Kerendia,,,2019,2758
Pemetrexed Disodium,,,2019,2758
Hemangeol,,,2019,2758
Pregabalin ER,,,2019,2758
Asenapine Maleate,,,2019,2758
Adcetris,,,2019,2758
Altabax,,,2019,2758
Binosto,,,2019,2758
Camzyos,,,2019,2758
Comfort Ez Pro Safety Pen Ndl,,,2019,2758
Betaine Anhydrous,,,2019,2758
Hetlioz Lq,,,2019,2758
Nocdurna,,,2019,2758
Airduo Digihaler,,,2019,2758
Arexvy,,,2019,2758
Hycodan,,,2019,2758
Kimyrsa,,,2019,2758
Gefitinib,,,2019,2758
Joenja,,,2019,2758
Norliqva,,,2019,2758
Enhertu,,,2019,2758
Kanjinti,,,2019,2758
Cabenuva,,,2019,2758
Daybue,,,2019,2758
Dermacinrx Pretrate,,,2019,2758
Euthyrox,,,2019,2758
Breyna,,,2019,2758
Evrysdi,,,2019,2758
Insulin Degludec,,,2019,2758
Insulin Lispro Protamine Mix,,,2019,2758
Omnipod 5 G6 Pods (Gen 5),,,2019,2758
Cosentyx Unoready Pen,,,2019,2758
Insulin Aspart Flexpen,,,2019,2758
Insulin Aspart Prot Mix 70-30,,,2019,2758
Emtricitabine-Tenofovir Disop,,,2019,2758
Inqovi,,,2019,2758
Insulin Aspart,,,2019,2758
Brukinsa,,,2019,2758
Azelastine-Fluticasone,,,2019,2758
Daptomycin-0.9% NaCl,,,2019,2758
Clarinex,,,2019,2758
Droplet Micron Pen Needle,,,2019,2758
Fluticasone-Vilanterol,,,2019,2758
Hyzaar,,,2019,2758
Cequr Simplicity Inserter,,,2019,2758
Cuvrior,,,2019,2758
Dayvigo,,,2019,2758
Eprontia,,,2019,2758
Fluoridex,,,2019,2758
Fosfomycin Tromethamine,,,2019,2758
Isturisa,,,2019,2758
Nebivolol HCl,,,2019,2758
Phesgo,,,2019,2758
Potassium Chloride In D5lr,,,2019,2758
Prehevbrio,,,2019,2758
Nitrolingual,,,2019,2758
Lyumjev Kwikpen U-100,,,2019,2758
Insulin Degludec Pen (U-100),,,2019,2758
Lyumjev Tempo Pen U-100,,,2019,2758
Droxidopa,,,2019,2758
E.E.S. 400,,,2019,2758
Bronchitol,,,2019,2758
Eulexin,,,2019,2758
Fosamax Plus D,,,2019,2758
Licart,,,2019,2758
Etopophos,,,2019,2758
Koselugo,,,2019,2758
Cyltezo(Cf),,,2019,2758
Dermacinrx Lidorex,,,2019,2758
Dermacinrx Prenatrix,,,2019,2758
Elyxyb,,,2019,2758
Adthyza,,,2019,2758
Methylphenidate,,,2019,2758
Breztri Aerosphere,,,2019,2758
Gavreto,,,2019,2758
Cordran,,,2019,2758
Effient,,,2019,2758
Infliximab,,,2019,2758
Orphenadrine-Aspirin-Caffeine,,,2019,2758
Nitazoxanide,,,2019,2758
Nymyo,,,2019,2758
Orladeyo,,,2019,2758
Cimerli,,,2019,2758
Dermacinrx Lidocan,,,2019,2758
Hemady,,,2019,2758
Cortenema,,,2019,2758
Fluticasone Propionate HFA,,,2019,2758
Kynmobi,,,2019,2758
Cibinqo,,,2019,2758
Insulin Glargine,,,2019,2758
Natacyn,,,2019,2758
Ogsiveo,,,2019,2758
Opdualag,,,2019,2758
Aemcolo,,,2019,2758
Capecitabine,,,2019,2758
Ketodan,,,2019,2758
Lojaimiess,,,2019,2758
Darunavir,,,2019,2758
Insulin Degludec Pen (U-200),,,2019,2758
Microdot Insulin Pen Needle,,,2019,2758
Azstarys,,,2019,2758
Dropsafe Prep Pads,,,2019,2758
Amondys-45,,,2019,2758
Javygtor,,,2019,2758
Leuprolide Depot,,,2019,2758
Lupkynis,,,2019,2758
Litfulo,,,2019,2758
Orphengesic Forte,,,2019,2758
Augmentin,,,2019,2758
Dojolvi,,,2019,2758
Hyftor,,,2019,2758
Izervay,,,2019,2758
Egrifta Sv,,,2019,2758
Leukine,,,2019,2758
Monjuvi,,,2019,2758
Minolira ER,,,2019,2758
Naproxen Sodium ER,,,2019,2758
Glycate,,,2019,2758
Menquadfi,,,2019,2758
PNV Tabs 20-1,,,2019,2758
Mini Pen Needle,,,2019,2758
Prolate,,,2019,2758
Filspari,,,2019,2758
Lyleq,,,2019,2758
Acetaminophen,,,2019,2758
Dolishale,,,2019,2758
Lacosamide*,,,2019,2758
Phospholine Iodide,,,2019,2758
Polivy,,,2019,2758
Atropine Sulfate,,,2019,2758
Humalog Tempo Pen U-100,,,2019,2758
Livmarli,,,2019,2758
Adalimumab-Adaz(Cf),,,2019,2758
Arcalyst,,,2019,2758
Brinzolamide,,,2019,2758
Empaveli,,,2019,2758
Ibsrela,,,2019,2758
Lamotrigine ODT (Orange),,,2019,2758
Lodoco,,,2019,2758
Promethazine Vc,,,2019,2758
Estrogel,,,2019,2758
Lytgobi,,,2019,2758
Celestone,,,2019,2758
Cinryze,,,2019,2758
Difluprednate,,,2019,2758
Freestyle Libre 3 Sensor,,,2019,2758
Pretomanid,,,2019,2758
Exelderm,,,2019,2758
Isosorbide Dinit-Hydralazine,,,2019,2758
Ontruzant,,,2019,2758
Caplyta,,,2019,2758
Nylia,,,2019,2758
Insulin Glargine Solostar,,,2019,2758
Ayvakit,,,2019,2758
Klisyri,,,2019,2758
Norgesic Forte,,,2019,2758
Bendamustine HCl,,,2019,2758
Hadlima(Cf) Pushtouch,,,2019,2758
Erythrocin Stearate,,,2019,2758
Allzital,,,2019,2758
Diazoxide,,,2019,2758
Amjevita(Cf),,,2019,2758
Plavix,,,2019,2758
Dermacinrx Lidogel,,,2019,2758
Nulytely,,,2019,2758
Aliqopa,,,2019,2758
Dilantin-125,,,2019,2758
Lyllana,,,2019,2758
Nymalize,,,2019,2758
Deferiprone (3 Times A Day),,,2019,2758
Miebo,,,2019,2758
Lisdexamfetamine Dimesylate,,,2019,2758
Prenatal Plus Vitamin-Mineral,,,2019,2758
Apomorphine HCl,,,2019,2758
Embrace Pen Needle,,,2019,2758
Finzala,,,2019,2758
Desferal Mesylate,,,2019,2758
Ibuprofen-Famotidine,,,2019,2758
Loreev XR,,,2019,2758
Cozaar,,,2019,2758
Gvoke Hypopen 1-Pack,,,2019,2758
Ongentys,,,2019,2758
Abilify Asimtufii,,,2019,2758
Aczone,,,2019,2758
Bylvay,,,2019,2758
Children'S Multivitamin,,,2019,2758
Dhivy,,,2019,2758
Oralone,,,2019,2758
Omnipod 5 G6 Intro Kit (Gen 5),,,2019,2758
Avsola,,,2019,2758
Azelex,,,2019,2758
Merzee,,,2019,2758
Co Q-10,,,2019,2758
Hadlima(Cf),,,2019,2758
Iyuzeh,,,2019,2758
Jornay PM,,,2019,2758
Jynneos (National Stockpile),,,2019,2758
Plerixafor,,,2019,2758
Fesoterodine Fumarate ER,,,2019,2758
Paclitaxel Protein-Bound,,,2019,2758
Priorix,,,2019,2758
Acetazolamide Sodium,,,2019,2758
Inpefa,,,2019,2758
Nurtec ODT,,,2019,2758
Diprolene,,,2019,2758
Herceptin Hylecta,,,2019,2758
Maxalt Mlt,,,2019,2758
Nexlizet,,,2019,2758
Ermeza,,,2019,2758
Otovel,,,2019,2758
Cytogam,,,2019,2758
Bimzelx,,,2019,2758
Flector,,,2019,2758
Austedo XR,,,2019,2758
Micafungin,,,2019,2758
Paxlovid,,,2019,2758
Amvuttra,,,2019,2758
Leqembi,,,2019,2758
Lurasidone HCl,,,2019,2758
Nityr,,,2019,2758
Asmanex,,,2019,2758
Paxlovid (Eua),,,2019,2758
Dermacea,,,2019,2758
Hydrocortisone Acetate,,,2019,2758
Arazlo,,,2019,2758
Gablofen,,,2019,2758
Abrysvo,,,2019,2758
Lovaza,,,2019,2758
Cequr Simplicity,,,2019,2758
Darzalex Faspro,,,2019,2758
Diltiazem 24hr ER (XR),,,2019,2758
Droperidol,,,2019,2758
Dupixent Pen,,,2019,2758
Clomid,,,2019,2758
Balcoltra,,,2019,2758
Panretin,,,2019,2758
Lumakras,,,2019,2758
Adakveo,,,2019,2758
Exservan,,,2019,2758
Ponvory,,,2019,2758
Brimonidine Tartrate-Timolol,,,2019,2758
Enilloring,,,2019,2758
Multi-Vitamin W-Fluoride-Iron,,,2019,2758
Opzelura,,,2019,2758
Pirfenidone,,,2019,2758
Epsolay,,,2019,2758
Lofena,,,2019,2758
Naproxen-Esomeprazole Mag,,,2019,2758
Gimoti,,,2019,2758
Pitavastatin Calcium,,,2019,2758
Krazati,,,2019,2758
Clarinex-D 12 Hour,,,2019,2758
Gemmily,,,2019,2758
Alymsys,,,2019,2758
Ciprofloxacin HCl-Fluocinolone,,,2019,2758
Etravirine,,,2019,2758
Patanase,,,2019,2758
Aspruzyo Sprinkle,,,2019,2758
Hydrocodone Bitartrate ER,,,2019,2758
Nascobal,,,2019,2758
Antivert,,,2019,2758
Diacomit,,,2019,2758
Ferriprox (2 Times A Day),,,2019,2758
Cutaquig,,,2019,2758
Formoterol Fumarate,,,2019,2758
Myleran,,,2019,2758
Orgovyx,,,2019,2758
Amjevita(Cf) Autoinjector,,,2019,2758
Arformoterol Tartrate,,,2019,2758
Methsuximide,,,2019,2758
